"Site","GenSiteID","GenID","size_2013","size_2014","size_2015","size_2016","size_2017","size_2018","size_2019","Fate_2013","Fate_2014","Fate_2015","Fate_2016","Fate_2017","Fate_2018"
"FR132","FR132_1250",1250,189.33028128,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1254",1254,15.87552048,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1258",1258,11.64531492,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1259",1259,40.88109852,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1262",1262,67.781286,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1263",1263,13.76858412,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1266",1266,30.90173328,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1276",1276,140.59308672,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1281",1281,39.18248316,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1286",1286,120.81401748,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1287",1287,25.3975662,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1294",1294,157.02392376,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1297",1297,23.30696268,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1298",1298,28.4191416,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1303",1303,41.38741656,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1305",1305,111.17764188,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1307",1307,165.02701536,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1311",1311,17.36180892,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1314",1314,27.14518008,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1318",1318,13.36026312,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1332",1332,347.67716508,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1354",1354,126.0078606,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1356",1356,21.77167572,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1365",1365,84.522447,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1379",1379,55.05800364,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1382",1382,40.94642988,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1384",1384,99.92431512,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1386",1386,22.09833252,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1388",1388,20.93870088,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1394",1394,102.53756952,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1398",1398,59.82719292,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1399",1399,68.00994576,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1410",1410,59.48420328,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1418",1418,17.01881928,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1422",1422,206.07144228,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
