"Site","GenSiteID","GenID","size_2013","size_2014","size_2015","size_2016","size_2017","size_2018","size_2019","Fate_2013","Fate_2014","Fate_2015","Fate_2016","Fate_2017","Fate_2018"
"FR14","FR14_1811",0,0,0,84.19453827,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_2250",0,0,0,0,8.25148874,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR14","FR14_2251",0,0,0,0,4.92480158,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR14","FR14_2253",0,0,0,0,5.10418177,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR14","FR14_2257",0,0,0,0,39.6267147,43.78507365,0,0,"BC","BC","recruit","alive","died","AD"
"FR14","FR14_2367",0,0,0,0,8.90378034,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR14","FR14_2415",0,0,0,0,12.94798826,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR14","FR14_2428",0,0,0,0,92.03834476,83.167179,0,0,"BC","BC","recruit","alive","died","AD"
"FR14","FR14_264",264,128.28945043,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR14","FR14_2681",0,0,0,0,19.42198239,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR14","FR14_2805",0,0,0,0,35.97388174,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR14","FR14_3019",0,0,0,0,74.75261736,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR14","FR14_3020",0,0,0,0,44.53520899,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR14","FR14_3030",0,0,0,0,10.99111346,8.56132725,0,0,"BC","BC","recruit","alive","died","AD"
"FR14","FR14_3126",0,0,0,0,0,31.76660092,0,0,"BC","BC","BC","recruit","died","AD"
"FR14","FR14_3184",0,0,0,0,0,7.86011378,0,0,"BC","BC","BC","recruit","died","AD"
"FR14","FR14_3226",0,0,0,0,0,69.76258662,0,0,"BC","BC","BC","recruit","died","AD"
"FR14","FR14_3240",0,0,0,0,0,78.29129929,0,0,"BC","BC","BC","recruit","died","AD"
"FR14","FR14_3355",0,0,0,0,0,30.3315594,0,0,"BC","BC","BC","recruit","died","AD"
"FR14","FR14_3463",0,0,0,0,0,47.84558886,0,0,"BC","BC","BC","recruit","died","AD"
"FR14","FR14_3818",0,0,0,0,0,0,22.0148415,46.8019223,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4564",0,0,0,0,0,0,780.32013379,720.53760865,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4567",0,0,0,0,0,0,15.94852962,14.72548287,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4568",0,0,0,0,0,0,4.90849429,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4569",0,0,0,0,0,0,839.05899237,742.7970595,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4570",0,0,0,0,0,0,19.03060743,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4571",0,0,0,0,0,0,25.87966923,32.01121027,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4572",0,0,0,0,0,0,399.528605,380.87306524,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4573",0,0,0,0,0,0,118.60292017,122.02745107,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4574",0,0,0,0,0,0,12.96429555,5.49555673,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4576",0,0,0,0,0,0,257.89979135,182.98410109,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4577",0,0,0,0,0,0,146.66776626,149.71722949,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4578",0,0,0,0,0,0,365.88666573,253.44790118,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4579",0,0,0,0,0,0,80.70477821,86.52648074,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4580",0,0,0,0,0,0,310.76802553,226.9974768,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4581",0,0,0,0,0,0,84.84682987,50.19383862,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4582",0,0,0,0,0,0,12.00216544,11.93693628,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4584",0,0,0,0,0,0,144.22167276,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4586",0,0,0,0,0,0,57.36904622,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4587",0,0,0,0,0,0,413.81379104,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4588",0,0,0,0,0,0,31.35891867,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4589",0,0,0,0,0,0,37.60461074,26.87441392,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4590",0,0,0,0,0,0,6.06631188,10.53450934,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4591",0,0,0,0,0,0,215.43560819,92.08726663,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4592",0,0,0,0,0,0,27.02117953,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4593",0,0,0,0,0,0,8.26779603,17.31834198,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4594",0,0,0,0,0,0,23.44988302,12.67076433,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4595",0,0,0,0,0,0,114.06949355,59.21176999,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4596",0,0,0,0,0,0,8.67547828,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4597",0,0,0,0,0,0,1.76118732,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4598",0,0,0,0,0,0,114.4771758,62.7830665,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4601",0,0,0,0,0,0,2.80485388,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4602",0,0,0,0,0,0,659.7929534,707.72007871,"BC","BC","BC","BC","recruit","alive"
