"Site","GenSiteID","GenID","size_2013","size_2014","size_2015","size_2016","size_2017","size_2018","size_2019","Fate_2013","Fate_2014","Fate_2015","Fate_2016","Fate_2017","Fate_2018"
"FR132","FR132_0",0,136.59154092,108.38472624,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR132","FR132_1",1,56.77295184,111.86362116,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR132","FR132_10",10,199.84863024,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_100",100,80.17791156,91.33324128,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR132","FR132_1016",0,0,0,7.88876172,41.01176124,69.85555668,145.1989476,191.9925342,"BC","recruit","alive","alive","alive","alive"
"FR132","FR132_102",102,301.61855628,37.22254236,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR132","FR132_103",103,83.93446476,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_104",104,94.2404868,160.42115448,229.77039312,286.641342,400.6445652,505.79538912,0,"alive","alive","alive","alive","alive","died"
"FR132","FR132_105",105,171.93580668,109.3483638,14.71588884,44.93164284,7.62743628,0,0,"alive","alive","alive","alive","died","AD"
"FR132","FR132_1053",0,0,0,45.74828484,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1055",0,0,0,9.19538892,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_107",107,131.83868448,142.45503048,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR132","FR132_109",109,64.71071208,130.38506172,92.01922056,60.08851836,58.1449104,98.55235656,0,"alive","alive","alive","alive","alive","died"
"FR132","FR132_11",11,251.49307032,214.22152944,39.16615032,44.11500084,53.04906432,0,0,"alive","alive","alive","alive","died","AD"
"FR132","FR132_110",110,33.93964152,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_111",111,229.52540052,273.21574752,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR132","FR132_112",112,284.15875032,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1122",0,0,0,29.05612236,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_113",113,210.1219866,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1136",0,0,0,27.58616676,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_114",114,135.154251,139.59678348,32.76367704,0,0,0,0,"alive","alive","died","AD","AD","AD"
"FR132","FR132_115",115,411.4242396,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_117",117,158.86953468,19.71373788,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR132","FR132_1172",0,0,0,79.63892784,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1173",0,0,0,7.72543332,37.35320508,68.95725048,0,0,"BC","recruit","alive","alive","died","AD"
"FR132","FR132_1184",0,0,0,43.96800528,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1198",0,0,0,85.78007568,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_12",12,20.35071864,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_120",120,144.65996388,151.60142088,36.0139122,86.4007236,138.06149652,126.43251444,0,"alive","alive","alive","alive","alive","died"
"FR132","FR132_121",121,260.100477,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1214",1214,11.49831936,36.5038974,51.30145044,69.0879132,15.14054268,0,0,"alive","alive","alive","alive","died","AD"
"FR132","FR132_1216",0,0,0,7.98675876,22.76797896,0,0,0,"BC","recruit","alive","died","AD","AD"
"FR132","FR132_1218",0,0,0,171.05383332,202.75587576,122.92095384,0,0,"BC","recruit","alive","alive","died","AD"
"FR132","FR132_122",122,366.672258,252.84869604,138.48615036,164.53703016,0,0,0,"alive","alive","alive","died","AD","AD"
"FR132","FR132_123",123,92.7705312,13.16426904,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR132","FR132_124",124,32.06136492,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_125",125,191.69854308,214.4501892,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR132","FR132_126",126,82.59517188,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_127",127,62.34245028,68.72859072,16.64316396,17.8027956,23.48662392,0,0,"alive","alive","alive","alive","died","AD"
"FR132","FR132_128",128,340.3763856,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_129",129,113.66023356,167.7382668,189.75493512,301.48789356,355.02694308,389.19524436,406.67138316,"alive","alive","alive","alive","alive","alive"
"FR132","FR132_130",130,250.88875524,260.37813528,35.932248,0,0,0,0,"alive","alive","died","AD","AD","AD"
"FR132","FR132_133",133,28.64780136,56.74028616,97.06606812,137.81650392,206.6920902,285.75936864,348.10181892,"alive","alive","alive","alive","alive","alive"
"FR132","FR132_134",134,147.53454372,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_135",135,332.56928808,339.57607644,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
