Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
599,-1,1,0.0,837.2377112400001,Acropora_branching,born,none
607,-1,9,0.0,119.54005596,Pavona_submassive,born,none
608,-1,10,0.0,50.1418188,Acropora_branching,born,none
609,-1,11,0.0,900.9521200800002,Acropora_branching,born,none
610,-1,12,0.0,230.17871412,Acropora_branching,born,none
612,-1,14,0.0,29.54610756,Goniastrea_stelligera,born,none
613,-1,15,0.0,118.73974679999999,Pavona_submassive,born,none
619,-1,21,0.0,13.654254240000002,Pavona_submassive,born,none
621,-1,23,0.0,70.03521792000001,Pavona_massive,born,none
623,-1,25,0.0,24.205268880000002,Pavona_submassive,born,none
624,-1,26,0.0,135.12158532,Acropora_branching,born,none
625,-1,27,0.0,47.39790168,Pavona_submassive,born,none
629,-1,31,0.0,642.66458832,Pavona_submassive,born,none
630,-1,32,0.0,12.216964320000002,Pavona_submassive,born,none
632,-1,34,0.0,1130.51018628,Acropora_branching,born,none
633,-1,35,0.0,114.70553532,Goniastrea_stelligera,born,none
634,-1,36,0.0,491.22649584000004,Acropora_branching,born,none
636,-1,38,0.0,26.524532160000003,Hydnophora_microconos,born,none
638,-1,40,0.0,27.912823559999996,Acropora_branching,born,none
639,-1,41,0.0,710.0865518400001,Acropora_branching,born,none
643,-1,45,0.0,103.10921892,Goniastrea_stelligera,born,none
645,-1,47,0.0,29.807433,Hydnophora_microconos,born,none
648,-1,50,0.0,68.6795922,Pavona_submassive,born,none
650,-1,52,0.0,70.41087324000002,Pavona_submassive,born,none
653,-1,55,0.0,4.50786384,Pocillopora,born,none
654,-1,56,0.0,72.77913504,Goniastrea_stelligera,born,none
657,-1,59,0.0,73.38345012,Goniastrea_stelligera,born,none
659,-1,61,0.0,357.41153772000007,Goniastrea_stelligera,born,none
665,-1,67,0.0,431.02364759999995,Goniastrea_stelligera,born,none
669,-1,71,0.0,350.47008072000006,Goniastrea_stelligera,born,none
671,-1,73,0.0,1394.7102061199998,Acropora_branching,born,none
675,-1,77,0.0,40.8321,Goniastrea_stelligera,born,none
678,-1,80,0.0,113.13758268,Goniastrea_stelligera,born,none
680,-1,82,0.0,114.18288444,Pavona_submassive,born,none
682,-1,84,0.0,190.21225464,Goniastrea_stelligera,born,none
683,-1,85,0.0,295.85306376,Pavona_submassive,born,none
685,-1,87,0.0,386.54932428,Goniastrea_stelligera,born,none
687,-1,89,0.0,58.16124324000001,Pavona_submassive,born,none
719,-1,98,0.0,612.57949704,Goniastrea_stelligera,born,none
701,-1,103,0.0,501.54885072,Pavona_submassive,born,none
188,-1,106,0.0,26.50819932,Pocillopora,born,none
719,-1,107,0.0,13.082604840000002,Goniastrea_stelligera,born,none
719,-1,109,0.0,12.64161816,Goniastrea_stelligera,born,none
719,-1,114,0.0,2.62958724,Goniastrea_stelligera,born,none
713,-1,115,0.0,292.1945076,Goniastrea_stelligera,born,none
715,-1,117,0.0,16.93715508,Hydnophora_microconos,born,none
716,-1,118,0.0,4.899852000000001,Hydnophora_microconos,born,none
719,-1,119,0.0,6.2391448800000004,Goniastrea_stelligera,born,none
718,-1,120,0.0,31.685709600000006,Pocillopora_grandis,born,none
719,-1,121,0.0,9.195388920000001,Goniastrea_stelligera,born,none
721,-1,123,0.0,3.6422233200000007,Hydnophora_microconos,born,none
723,-1,125,0.0,17.884459800000002,Pocillopora,born,none
724,-1,126,0.0,554.71224492,Pavona_submassive,born,none
731,-1,133,0.0,20.007728999999998,Porites_massive,born,none
734,-1,136,0.0,807.43027824,Pavona_submassive,born,none
737,-1,139,0.0,234.84990636000003,Goniastrea_stelligera,born,none
740,-1,142,0.0,88.45866144,Goniastrea_stelligera,born,none
744,-1,146,0.0,77.40132876000001,Goniastrea_stelligera,born,none
754,-1,156,0.0,71.43984216,Goniastrea_stelligera,born,none
758,-1,160,0.0,566.9292092400001,Acropora_branching,born,none
761,-1,163,0.0,105.5918106,Goniastrea_stelligera,born,none
766,-1,168,0.0,28.10881764,Acropora_branching,born,none
767,-1,169,0.0,165.41900352000002,Goniastrea_stelligera,born,none
771,-1,173,0.0,63.24075648,Porites_massive,born,none
774,-1,176,0.0,76.29069564000001,Pavona_submassive,born,none
783,-1,185,0.0,262.33807608,Goniastrea_stelligera,born,none
794,-1,196,0.0,1096.9135344,Pavona_submassive,born,none
800,-1,202,0.0,29.350113480000005,Pavona_submassive,born,none
805,-1,207,0.0,33.33532644,Porites_massive,born,none
807,-1,209,0.0,222.79627044,Pavona_submassive,born,none
809,-1,211,0.0,83.85280056000002,Pavona_submassive,born,none
813,-1,215,0.0,439.46772588,Pavona_submassive,born,none
816,-1,218,0.0,216.88378236000005,Pavona_massive,born,none
817,-1,219,0.0,106.34312124000002,Acropora_branching,born,none
818,-1,220,0.0,190.8492354,Pavona_submassive,born,none
822,-1,224,0.0,995.0619441600002,Acropora_branching,born,none
825,-1,227,0.0,717.7793194800001,Pavona_submassive,born,none
826,-1,228,0.0,240.07641516,Goniastrea_stelligera,born,none
827,-1,229,0.0,64.31872392,Pavona_submassive,born,none
829,-1,231,0.0,10.812340080000002,Pocillopora,born,none
831,-1,233,0.0,38.51283672,Acropora_branching,born,none
833,-1,235,0.0,1229.14420704,Acropora_branching,born,none
834,-1,236,0.0,63.714408840000004,Goniastrea_stelligera,born,none
836,-1,238,0.0,129.1111002,Porites_massive,born,none
841,-1,243,0.0,85.40442036,Pavona_submassive,born,none
843,-1,245,0.0,34.08663708,Pavona_submassive,born,none
847,-1,249,0.0,97.9153758,Pavona_submassive,born,none
850,-1,252,0.0,26.736859080000002,Acropora_branching,born,none
879,-1,253,0.0,2794.40192844,Acropora_branching,born,none
853,-1,255,0.0,106.66977804,Goniastrea_stelligera,born,none
856,-1,258,0.0,75.68638056,Acropora_branching,born,none
859,-1,261,0.0,340.16405868000004,Pavona_submassive,born,none
861,-1,263,0.0,625.4824406399999,Goniastrea_stelligera,born,none
862,-1,264,0.0,224.46222012,Goniastrea_stelligera,born,none
863,-1,265,0.0,445.80486780000007,Goniastrea_stelligera,born,none
866,-1,268,0.0,109.96901172,Pavona_submassive,born,none
869,-1,271,0.0,453.9712878000001,Goniastrea_stelligera,born,none
870,-1,272,0.0,578.77051824,Acropora_branching,born,none
871,-1,273,0.0,42.67771092,Acropora_branching,born,none
873,-1,275,0.0,519.75996732,Acropora_branching,born,none
877,-1,279,0.0,11.64531492,Goniastrea_stelligera,born,none
878,-1,280,0.0,108.613386,Pavona_massive,born,none
879,-1,281,0.0,1907.77370904,Acropora_branching,born,none
893,-1,295,0.0,259.1205066,Pavona_submassive,born,none
894,-1,296,0.0,31.130393039999998,Pavona_submassive,born,none
901,-1,303,0.0,132.16534128,Acropora_branching,born,none
904,-1,306,0.0,193.54415400000002,Acropora_branching,born,none
905,-1,307,0.0,121.38566687999999,Goniastrea_stelligera,born,none
908,-1,310,0.0,116.50214772000001,Pavona_submassive,born,none
