"Site","GenSiteID","Class","Year","CoralSize","log_CoralSize","Recruitment","Mortality","GrowthRate","Next_Year_Mortality","Max_DHW","Max_DHW_Lag1","Max_DHW_Lag2","Mortality_Lag1","FirstYear","first_recruitment_year","first_mortality_year","SiteMortality_Prop","SiteMortality_Prop_Lag1"
"FR132","FR132_1016","coral_G",2019,191.9925342,5.25745648689677,0,0,0.27935163246622,0,6.3129,4.63,0,0,0,2015,NA,0.249316939890712,0.249316939890712
"FR132","FR132_129","coral_G",2019,406.67138316,6.00800544692636,0,0,0.0439243157025268,0,6.3129,4.63,0,0,0,NA,NA,0.249316939890712,0.249316939890712
"FR132","FR132_133","coral_G",2019,348.10181892,5.85249502008383,0,0,0.197344931804635,0,6.3129,4.63,0,0,0,NA,NA,0.249316939890712,0.249316939890712
"FR132","FR132_1355","coral_G",2019,212.70257532,5.3598948298903,0,0,0.493042078200067,0,6.3129,4.63,0,0,0,2017,NA,0.249316939890712,0.249316939890712
"FR132","FR132_1433","coral_G",2019,163.75305384,5.09835952374604,0,0,0.367879944322598,0,6.3129,4.63,0,0,0,2016,NA,0.249316939890712,0.249316939890712
"FR132","FR132_1444","coral_G",2019,127.9678014,4.85177868071272,0,0,0.340667367220585,0,6.3129,4.63,0,0,0,2016,NA,0.249316939890712,0.249316939890712
"FR132","FR132_1448","coral_G",2019,122.38197012,4.80714705628691,0,0,-0.19419526599238,0,6.3129,4.63,0,0,0,2016,NA,0.249316939890712,0.249316939890712
"FR132","FR132_1495","coral_G",2019,26.949186,3.29395309281722,0,0,-1.38492979415809,0,6.3129,4.63,0,0,0,2017,NA,0.249316939890712,0.249316939890712
"FR132","FR132_1498","coral_G",2019,179.39991456,5.1896174733704,0,0,0.28574173713528,0,6.3129,4.63,0,0,0,2016,NA,0.249316939890712,0.249316939890712
"FR132","FR132_156","coral_G",2019,308.56001328,5.7319163569386,0,0,-0.210143901013795,0,6.3129,4.63,0,0,0,NA,NA,0.249316939890712,0.249316939890712
"FR132","FR132_1809","coral_G",2019,173.74875192,5.15761030122486,0,0,0.19732354288853,0,6.3129,4.63,0,0,0,2017,NA,0.249316939890712,0.249316939890712
"FR132","FR132_193","coral_G",2019,188.1543168,5.23726246017248,0,0,-0.066895766691602,0,6.3129,4.63,0,0,0,NA,NA,0.249316939890712,0.249316939890712
"FR132","FR132_221","coral_G",2019,243.39198168,5.49467323703627,0,0,0.195806243161007,0,6.3129,4.63,0,0,0,NA,NA,0.249316939890712,0.249316939890712
"FR132","FR132_2214","coral_G",2019,147.33854964,4.99273299757923,0,0,0.750051318156727,0,6.3129,4.63,0,0,0,2017,NA,0.249316939890712,0.249316939890712
"FR132","FR132_230","coral_G",2019,381.89446488,5.94514430048936,0,0,0.191498771130947,0,6.3129,4.63,0,0,0,NA,NA,0.249316939890712,0.249316939890712
"FR132","FR132_2323","coral_G",2019,242.75500092,5.49205270807149,0,0,-0.397788088965674,0,6.3129,4.63,0,0,0,NA,NA,0.249316939890712,0.249316939890712
"FR132","FR132_2332","coral_G",2019,16.30017432,2.79117580223406,0,0,1.47640764735702,0,6.3129,4.63,0,0,0,2018,NA,0.249316939890712,0.249316939890712
