"Site","GenSiteID","GenID","size_2013","size_2014","size_2015","size_2016","size_2017","size_2018","size_2019","Fate_2013","Fate_2014","Fate_2015","Fate_2016","Fate_2017","Fate_2018"
"FR132","FR132_1284",1284,66.73598424,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1347",1347,17.10048348,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1359",1359,18.32544648,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1396",1396,18.63577044,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1524",1524,213.64988004,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1560",1560,49.76616348,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1586",1586,19.9260648,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1603",1603,205.40179584,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1621",1621,25.90388424,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1622",1622,24.64625556,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1665",1665,39.49280712,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1695",1695,58.81455684,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1701",1701,66.3113304,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1757",1757,18.40711068,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1770",1770,10.22435784,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1781",1781,28.30481172,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1859",1859,20.12205888,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1864",1864,29.79110016,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1866",1866,16.93715508,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1871",1871,54.09436608,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1873",1873,32.9106726,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1879",1879,27.29217564,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1885",1885,31.65304392,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1891",1891,37.14087816,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1893",1893,49.88049336,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1902",1902,32.95967112,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1906",1906,13.99724388,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR14","FR14_1145",0,0,0,736.55136743,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1150",0,0,0,1485.74088461,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1176",0,0,0,69.76258662,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1181",0,0,0,21.00378952,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1185",1185,211.70123878,0,131.87705423,211.70123878,0,0,0,"BC","recruit","AD","AD","AD","AD"
"FR14","FR14_1209",0,0,0,61.25018124,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1259",0,0,0,33.52778824,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1264",1264,284.44805947,0,187.64798603,284.44805947,0,0,0,"BC","recruit","AD","AD","AD","AD"
"FR14","FR14_1269",1269,3.86482773,0,53.6509841,3.86482773,0,0,0,"BC","recruit","AD","AD","AD","AD"
"FR14","FR14_1271",0,0,0,39.33318348,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1275",1275,337.65874674,0,394.53857426,337.65874674,0,0,0,"BC","recruit","AD","AD","AD","AD"
"FR14","FR14_1277",1277,48.5957242,0,25.86336194,48.5957242,0,0,0,"BC","recruit","AD","AD","AD","AD"
"FR14","FR14_1286",0,0,0,32.72873103,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1300",0,0,0,44.25798506,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1322",0,0,0,108.99792636,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1342",0,0,0,391.0488142,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1347",0,0,0,108.59024411,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1348",1348,10169.24235129,0,12568.38716338,10169.24235129,0,0,0,"BC","recruit","AD","AD","AD","AD"
"FR14","FR14_1350",0,0,0,45.56256826,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1356",1356,373.46955558,0,159.38745246,373.46955558,0,0,0,"BC","recruit","AD","AD","AD","AD"
"FR14","FR14_1368",1368,266.98295188,0,171.68314912,266.98295188,0,0,0,"BC","recruit","AD","AD","AD","AD"
"FR14","FR14_1378",1378,512.29351535,0,333.8102263,512.29351535,0,0,0,"BC","recruit","AD","AD","AD","AD"
"FR14","FR14_1399",0,0,0,1679.45518252,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1404",0,0,0,298.63540177,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1439",1439,45.48103181,0,122.81020099,45.48103181,0,0,0,"BC","recruit","AD","AD","AD","AD"
"FR14","FR14_1450",0,0,0,62.96244669,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1457",1457,338.44149666,0,60.61419693,338.44149666,0,0,0,"BC","recruit","AD","AD","AD","AD"
"FR14","FR14_1462",0,0,0,139.55778782,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1466",1466,100.27352621,0,171.96037305,100.27352621,0,0,0,"BC","recruit","AD","AD","AD","AD"
"FR14","FR14_1483",0,0,0,19.81335735,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1484",0,0,0,41.86081343,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1486",1486,16.87804515,0,201.8842502,16.87804515,0,0,0,"BC","recruit","AD","AD","AD","AD"
"FR14","FR14_1488",0,0,0,60.48373861,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR14","FR14_1489",0,0,0,60.56527506,0,0,0,0,"BC","recruit","died","AD","AD","AD"
