"Site","GenSiteID","GenID","size_2013","size_2014","size_2015","size_2016","size_2017","size_2018","size_2019","Fate_2013","Fate_2014","Fate_2015","Fate_2016","Fate_2017","Fate_2018"
"FR132","FR132_1242",1242,215.9201448,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1269",1269,78.11997372,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1288",1288,53.78404212,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1317",1317,21.05303076,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1322",1322,68.38560108,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1323",1323,213.19256052,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1363",1363,231.04435464,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1374",1374,155.14564716,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1378",1378,683.3660256,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1381",1381,105.2651538,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1389",1389,53.53904952,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1402",1402,190.55524428,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1403",1403,422.3672424,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1404",1404,94.77947052,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1408",1408,963.27823752,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1414",1414,57.83458644,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1416",1416,325.49716836,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1420",1420,231.518007,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1426",1426,175.6596942,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1449",1449,471.34942956,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1454",1454,524.1208356,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1455",1455,133.73329392,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1462",1462,38.93749056,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1466",1466,128.5394508,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1467",1467,240.23974356,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1470",1470,82.8074988,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1476",1476,62.24445324,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1477",1477,94.33848384,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1479",1479,310.29129432,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1489",1489,28.5008058,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1503",1503,129.81341232,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1520",1520,234.5395824,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1525",1525,209.28901176,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1529",1529,51.00745932,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1536",1536,20.18739024,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1538",1538,221.53864176,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1557",1557,105.77147184,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1565",1565,170.3515212,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1583",1583,91.9538892,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1597",1597,88.98131232,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1605",1605,33.79264596,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
