"Site","GenSiteID","GenID","size_2013","size_2014","size_2015","size_2016","size_2017","size_2018","size_2019","Fate_2013","Fate_2014","Fate_2015","Fate_2016","Fate_2017","Fate_2018"
"FR132","FR132_1245",1245,299.57695128,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1265",1265,63.22442364,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1293",1293,37.7288604,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1300",1300,251.70539724,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1315",1315,79.50826512,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1320",1320,56.78928468,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1328",1328,15.30387108,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1330",1330,136.67320512,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1331",1331,543.16492704,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1334",1334,127.6411446,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1339",1339,44.14766652,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1340",1340,30.72207204,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1341",1341,353.72031588,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1345",1345,112.6149318,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1348",1348,71.22751524,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1352",1352,394.71574428,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1366",1366,337.55080428,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1371",1371,71.11318536,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1376",1376,114.19921728,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1385",1385,45.731952,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1393",1393,218.09241252,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1405",1405,23.71528368,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1406",1406,96.70674564,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1412",1412,55.2049992,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1437",1437,121.69599084,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1440",1440,186.14537748,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1445",1445,595.4953464,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1478",1478,104.56284168,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1499",1499,14.76488736,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1502",1502,73.35078444,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1509",1509,45.1603026,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1513",1513,128.67011352,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1518",1518,98.9770104,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1528",1528,97.89904296,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1530",1530,84.57144552,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1542",1542,117.95577048,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1546",1546,93.47284332,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1547",1547,26.73685908,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1548",1548,153.15304068,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
