"Site","GenSiteID","GenID","size_2013","size_2014","size_2015","size_2016","size_2017","size_2018","size_2019","Fate_2013","Fate_2014","Fate_2015","Fate_2016","Fate_2017","Fate_2018"
"FR132","FR132_1252",1252,274.45704336,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1268",1268,41.06075976,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1277",1277,511.4628846,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1362",1362,298.93997052,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1380",1380,1152.33086052,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1401",1401,133.32497292,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1419",1419,217.16144064,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1431",1431,565.55725068,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1438",1438,503.42712732,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1439",1439,158.47754652,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1493",1493,328.84540056,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1501",1501,18.99509292,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1519",1519,197.69269536,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1533",1533,65.33136,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1582",1582,328.82906772,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1591",1591,409.36630176,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1596",1596,158.11822404,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1633",1633,436.59314604,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1647",1647,51.23611908,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1662",1662,119.40939324,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1666",1666,110.31200136,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR132","FR132_1667",1667,254.51464572,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
