"Site","GenSiteID","GenID","size_2013","size_2014","size_2015","size_2016","size_2017","size_2018","size_2019","Fate_2013","Fate_2014","Fate_2015","Fate_2016","Fate_2017","Fate_2018"
"FR14","FR14_117",117,169.69365974,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR14","FR14_135",135,640.27312727,487.4248981,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR14","FR14_1765",0,0,0,0,0,0,31.42414783,143.11277704,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_1856",0,0,0,12.34461853,57.30381706,103.8774373,0,0,"BC","recruit","alive","alive","died","AD"
"FR14","FR14_203",203,127.49039322,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR14","FR14_218",218,111.23202509,141.46574075,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR14","FR14_33",33,102.09994269,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR14","FR14_3808",0,0,0,0,0,0,318.92167053,328.11898209,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_3835",0,0,0,0,0,0,7.59919714,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_45",45,1677.46569314,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR14","FR14_4843",0,0,0,0,0,0,0,789.55005993,"BC","BC","BC","BC","BC","recruit"
"FR14","FR14_49",49,9.99636877,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR14","FR14_665",665,0,215.23992071,0,0,0,0,0,"recruit","died","AD","AD","AD","AD"
"FR14","FR14_74",74,50.91135938,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR36","FR36_1004",0,0,0,0,9.566323469388,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR36","FR36_1104",0,0,0,0,109.32941107872,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR36","FR36_1128",0,0,0,0,654.691195121841,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR36","FR36_1274",0,0,0,0,0,63.840566826324,111.28172199084,0,"BC","BC","BC","recruit","alive","died"
"FR36","FR36_1277",0,0,0,0,0,382.929516154737,0,0,"BC","BC","BC","recruit","died","AD"
"FR36","FR36_1281",0,0,0,0,0,135.945916513956,0,0,"BC","BC","BC","recruit","died","AD"
"FR36","FR36_1292",0,0,0,0,0,57.332863785924,0,0,"BC","BC","BC","recruit","died","AD"
"FR36","FR36_1293",0,0,0,0,0,99.649202806125,0,0,"BC","BC","BC","recruit","died","AD"
"FR36","FR36_138",138,140.257269778221,136.303840181178,158.430030518538,143.527390556022,67.647573104958,0,0,"alive","alive","alive","alive","died","AD"
"FR36","FR36_142",142,190.415390962104,224.873678561022,269.109789978141,288.77932241775,0,0,0,"alive","alive","alive","died","AD","AD"
"FR36","FR36_151",151,54.66470553936,56.389246845066,61.98587145981,66.248416951272,0,0,0,"alive","alive","alive","died","AD","AD"
"FR36","FR36_152",152,23.118615051021,52.614779081634,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR36","FR36_176",176,346.160993976477,319.284180419625,283.24777483341,364.073446595178,403.721627368815,336.659747537493,0,"alive","alive","alive","alive","alive","died"
"FR36","FR36_326",326,5.564086099542,25.119733735944,56.031323177844,62.766795824658,0,0,0,"alive","alive","alive","died","AD","AD"
"FR36","FR36_342",342,34.555903144524,58.260211469181,109.557180685134,219.277053946278,243.306747422955,350.407270210338,0,"alive","alive","alive","alive","alive","died"
"FR36","FR36_364",364,0,144.568623042486,0,0,0,0,0,"recruit","died","AD","AD","AD","AD"
"FR36","FR36_368",368,0,30.716358350688,0,0,0,0,0,"recruit","died","AD","AD","AD","AD"
"FR36","FR36_370",370,0,20.059994622033,58.943520288423,0,0,0,0,"recruit","alive","died","AD","AD","AD"
"FR36","FR36_410",0,0,0,10.168286000625,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR36","FR36_433",0,0,0,5.157354659517,4.441507325073,0,0,0,"BC","recruit","alive","died","AD","AD"
"FR36","FR36_435",0,0,0,96.492966831531,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR36","FR36_446",0,0,0,505.355679602262,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR36","FR36_455",0,0,0,55.15278326739,63.498912416703,0,0,0,"BC","recruit","alive","died","AD","AD"
"FR36","FR36_629",0,0,0,0,13.308252717618,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR36","FR36_642",0,0,0,0,60.098637578094,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR36","FR36_666",0,0,0,0,110.191681731573,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR36","FR36_724",0,0,0,0,685.619053821342,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR36","FR36_742",0,0,0,0,142.600042872765,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR36","FR36_743",0,0,0,0,523.756209948993,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR36","FR36_756",0,0,0,0,231.869459329452,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR36","FR36_80",80,47.99430992295,90.115417851939,184.33068861933,226.874797245945,0,0,0,"alive","alive","alive","died","AD","AD"
"FR36","FR36_824",0,0,0,0,281.913695710128,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR36","FR36_902",0,0,0,0,108.51594819867,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR36","FR36_903",0,0,0,0,285.802048276767,0,0,0,"BC","BC","recruit","died","AD","AD"
"FR36","FR36_913",0,0,0,0,237.449814686595,0,0,0,"BC","BC","recruit","died","AD","AD"
