"Site","GenSiteID","GenID","size_2013","size_2014","size_2015","size_2016","size_2017","size_2018","size_2019","Fate_2013","Fate_2014","Fate_2015","Fate_2016","Fate_2017","Fate_2018"
"FR132","FR132_1001",0,0,0,35.1972702,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1004",0,0,0,31.47338268,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_101",101,141.01774056,273.52607148,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR132","FR132_1010",0,0,0,100.34896896,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1018",0,0,0,1.27396152,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1019",0,0,0,4.55686236,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1022",0,0,0,228.03911208,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1025",0,0,0,74.51041608,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1047",0,0,0,4.63852656,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1049",0,0,0,45.87894756,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_106",106,168.21191916,185.72072364,237.90414744,0,0,0,0,"alive","alive","died","AD","AD","AD"
"FR132","FR132_1075",0,0,0,869.90339124,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1077",0,0,0,16.93715508,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_108",108,168.34258188,215.5118238,275.02869276,0,0,0,0,"alive","alive","died","AD","AD","AD"
"FR132","FR132_1086",0,0,0,119.29506336,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1096",0,0,0,13.32759744,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1098",0,0,0,215.6751522,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1106",0,0,0,530.96429556,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1131",0,0,0,25.5608946,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1133",0,0,0,37.66352904,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1142",0,0,0,14.65055748,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR132","FR132_1156",0,0,0,33.22099656,0,0,0,0,"BC","recruit","died","AD","AD","AD"
