YYYY,MM,DD,DHW,BAA
1985,1,1,0,0
1985,1,2,0,0
1985,1,3,0,0
1985,1,4,0,0
1985,1,5,0,0
1985,1,6,0,0
1985,1,7,0,0
1985,1,8,0,0
1985,1,9,0,0
1985,1,10,0,0
1985,1,11,0,0
1985,1,12,0,0
1985,1,13,0,0
1985,1,14,0,0
1985,1,15,0,0
1985,1,16,0,0
1985,1,17,0,0
1985,1,18,0,0
1985,1,19,0,0
1985,1,20,0,0
1985,1,21,0,0
1985,1,22,0,0
1985,1,23,0,0
1985,1,24,0,0
1985,1,25,0,0
1985,1,26,0,0
1985,1,27,0,0
1985,1,28,0,0
1985,1,29,0,0
1985,1,30,0,0
1985,1,31,0,0
1985,2,1,0,0
1985,2,2,0,0
1985,2,3,0,0
1985,2,4,0,0
1985,2,5,0,0
1985,2,6,0,0
1985,2,7,0,0
1985,2,8,0,0
1985,2,9,0,0
1985,2,10,0,0
1985,2,11,0,0
1985,2,12,0,0
1985,2,13,0,0
1985,2,14,0,0
1985,2,15,0,0
1985,2,16,0,0
1985,2,17,0,0
1985,2,18,0,0
1985,2,19,0,0
1985,2,20,0,0
1985,2,21,0,0
1985,2,22,0,0
1985,2,23,0,0
1985,2,24,0,0
1985,2,25,0,0
1985,2,26,0,0
1985,2,27,0,0
1985,2,28,0,0
1985,3,1,0,0
1985,3,2,0,0
1985,3,3,0,0
1985,3,4,0,0
1985,3,5,0,0
1985,3,6,0,0
1985,3,7,0,0
1985,3,8,0,0
1985,3,9,0,0
1985,3,10,0,0
1985,3,11,0,0
1985,3,12,0,0
1985,3,13,0,0
1985,3,14,0,0
1985,3,15,0,0
1985,3,16,0,0
1985,3,17,0,0
1985,3,18,0,0
1985,3,19,0,0
1985,3,20,0,0
1985,3,21,0,0
1985,3,22,0,0
1985,3,23,0,0
1985,3,24,0,0
1985,3,25,0,0
1985,3,26,0,0
1985,3,27,0,0
1985,3,28,0,0
1985,3,29,0,0
1985,3,30,0,0
1985,3,31,0,0
1985,4,1,0,0
1985,4,2,0,0
1985,4,3,0,0
1985,4,4,0,0
1985,4,5,0,0
1985,4,6,0,0
1985,4,7,0,0
1985,4,8,0,0
1985,4,9,0,0
1985,4,10,0,0
1985,4,11,0,0
1985,4,12,0,0
1985,4,13,0,0
1985,4,14,0,0
1985,4,15,0,0
1985,4,16,0,0
1985,4,17,0,0
1985,4,18,0,0
1985,4,19,0,0
1985,4,20,0,0
1985,4,21,0,0
1985,4,22,0,0
1985,4,23,0,0
1985,4,24,0,0
1985,4,25,0,0
1985,4,26,0,0
1985,4,27,0,0
1985,4,28,0,0
1985,4,29,0,0
1985,4,30,0,0
1985,5,1,0,0
1985,5,2,0,0
1985,5,3,0,0
1985,5,4,0,0
1985,5,5,0,0
1985,5,6,0,0
1985,5,7,0,0
1985,5,8,0,0
1985,5,9,0,0
1985,5,10,0,0
1985,5,11,0,0
1985,5,12,0,0
1985,5,13,0,0
1985,5,14,0,0
1985,5,15,0,0
1985,5,16,0,0
1985,5,17,0,0
1985,5,18,0,1
1985,5,19,0,1
1985,5,20,0,1
1985,5,21,0,1
1985,5,22,0,1
1985,5,23,0,1
1985,5,24,0,1
1985,5,25,0,1
1985,5,26,0,1
1985,5,27,0,1
1985,5,28,0,1
1985,5,29,0,1
1985,5,30,0,1
1985,5,31,0,1
1985,6,1,0,1
1985,6,2,0,1
1985,6,3,0,1
1985,6,4,0,1
1985,6,5,0,1
1985,6,6,0,1
1985,6,7,0,1
1985,6,8,0,1
1985,6,9,0,1
1985,6,10,0,1
1985,6,11,0,1
1985,6,12,0,1
1985,6,13,0,1
1985,6,14,0,1
1985,6,15,0,1
1985,6,16,0,0
1985,6,17,0,0
1985,6,18,0,0
1985,6,19,0,0
1985,6,20,0,0
1985,6,21,0,0
1985,6,22,0,0
1985,6,23,0,0
1985,6,24,0,0
1985,6,25,0,0
1985,6,26,0,0
1985,6,27,0,0
1985,6,28,0,0
1985,6,29,0,0
1985,6,30,0,0
1985,7,1,0,0
1985,7,2,0,0
1985,7,3,0,0
1985,7,4,0,1
1985,7,5,0,1
1985,7,6,0,1
1985,7,7,0,1
1985,7,8,0,1
1985,7,9,0,1
1985,7,10,0,1
1985,7,11,0,1
1985,7,12,0,0
1985,7,13,0,0
1985,7,14,0,1
1985,7,15,0,1
1985,7,16,0,1
1985,7,17,0,1
1985,7,18,0,1
1985,7,19,0,1
1985,7,20,0,1
1985,7,21,0,1
1985,7,22,0,1
1985,7,23,0,1
1985,7,24,0,1
1985,7,25,0,1
1985,7,26,0,1
1985,7,27,0,1
1985,7,28,0.1586,2
1985,7,29,0.1586,2
1985,7,30,0.1586,2
1985,7,31,0.1586,2
1985,8,1,0.3343,2
1985,8,2,0.5357,2
1985,8,3,0.7629,2
1985,8,4,0.93,2
1985,8,5,1.0943,2
1985,8,6,1.0943,2
1985,8,7,1.0943,2
1985,8,8,1.0943,2
1985,8,9,1.0943,2
1985,8,10,1.0943,2
1985,8,11,1.0943,2
1985,8,12,1.0943,1
1985,8,13,1.0943,1
1985,8,14,1.0943,1
1985,8,15,1.0943,1
1985,8,16,1.0943,1
1985,8,17,1.0943,1
1985,8,18,1.0943,1
1985,8,19,1.0943,1
1985,8,20,1.0943,1
1985,8,21,1.0943,1
1985,8,22,1.0943,1
1985,8,23,1.0943,1
1985,8,24,1.0943,1
1985,8,25,1.0943,1
1985,8,26,1.0943,1
1985,8,27,1.0943,0
1985,8,28,1.0943,0
1985,8,29,1.0943,0
1985,8,30,1.0943,1
1985,8,31,1.0943,1
1985,9,1,1.0943,1
1985,9,2,1.0943,1
1985,9,3,1.2557,2
1985,9,4,1.2557,2
1985,9,5,1.2557,2
1985,9,6,1.2557,2
1985,9,7,1.2557,2
1985,9,8,1.2557,2
1985,9,9,1.2557,2
1985,9,10,1.2557,1
1985,9,11,1.2557,1
1985,9,12,1.2557,1
1985,9,13,1.2557,1
1985,9,14,1.2557,1
1985,9,15,1.2557,1
1985,9,16,1.2557,1
1985,9,17,1.2557,1
1985,9,18,1.2557,1
1985,9,19,1.2557,1
1985,9,20,1.2557,1
1985,9,21,1.2557,1
1985,9,22,1.2557,1
1985,9,23,1.2557,1
1985,9,24,1.2557,1
1985,9,25,1.2557,1
1985,9,26,1.2557,1
1985,9,27,1.2557,1
1985,9,28,1.2557,1
1985,9,29,1.2557,1
1985,9,30,1.2557,1
1985,10,1,1.2557,1
1985,10,2,1.2557,1
1985,10,3,1.2557,1
1985,10,4,1.2557,1
1985,10,5,1.2557,1
1985,10,6,1.2557,1
1985,10,7,1.2557,1
1985,10,8,1.2557,1
1985,10,9,1.2557,1
1985,10,10,1.2557,1
1985,10,11,1.2557,1
1985,10,12,1.4786,2
1985,10,13,1.6314,2
1985,10,14,1.6314,2
1985,10,15,1.6314,2
1985,10,16,1.6314,2
1985,10,17,1.6314,2
1985,10,18,1.6314,2
1985,10,19,1.6314,2
1985,10,20,1.4729,1
1985,10,21,1.4729,1
1985,10,22,1.4729,1
1985,10,23,1.4729,1
1985,10,24,1.2971,1
1985,10,25,1.0957,1
1985,10,26,0.8686,1
1985,10,27,0.7014,1
1985,10,28,0.5371,1
1985,10,29,0.5371,1
1985,10,30,0.5371,1
1985,10,31,0.5371,1
1985,11,1,0.5371,1
1985,11,2,0.5371,1
1985,11,3,0.5371,1
1985,11,4,0.5371,1
1985,11,5,0.5371,1
1985,11,6,0.5371,1
1985,11,7,0.5371,1
1985,11,8,0.5371,1
1985,11,9,0.5371,1
1985,11,10,0.5371,1
1985,11,11,0.5371,0
1985,11,12,0.5371,0
1985,11,13,0.5371,0
1985,11,14,0.5371,1
1985,11,15,0.5371,1
1985,11,16,0.5371,1
1985,11,17,0.5371,1
1985,11,18,0.5371,1
1985,11,19,0.5371,1
1985,11,20,0.5371,1
1985,11,21,0.5371,1
1985,11,22,0.5371,1
1985,11,23,0.5371,1
1985,11,24,0.5371,1
1985,11,25,0.5371,1
1985,11,26,0.3757,1
1985,11,27,0.3757,1
1985,11,28,0.3757,1
1985,11,29,0.3757,1
1985,11,30,0.3757,1
1985,12,1,0.3757,1
1985,12,2,0.3757,1
1985,12,3,0.3757,1
1985,12,4,0.3757,1
1985,12,5,0.3757,1
1985,12,6,0.3757,1
1985,12,7,0.3757,1
1985,12,8,0.3757,1
1985,12,9,0.3757,1
1985,12,10,0.3757,1
1985,12,11,0.3757,1
1985,12,12,0.3757,1
1985,12,13,0.3757,1
1985,12,14,0.3757,1
1985,12,15,0.3757,1
1985,12,16,0.3757,1
1985,12,17,0.3757,1
1985,12,18,0.3757,1
1985,12,19,0.3757,1
1985,12,20,0.3757,1
1985,12,21,0.3757,1
1985,12,22,0.3757,1
1985,12,23,0.3757,1
1985,12,24,0.3757,1
1985,12,25,0.3757,1
1985,12,26,0.3757,1
1985,12,27,0.3757,1
1985,12,28,0.3757,1
1985,12,29,0.3757,1
1985,12,30,0.3757,1
1985,12,31,0.3757,1
1986,1,1,0.3757,1
1986,1,2,0.3757,0
1986,1,3,0.3757,0
1986,1,4,0.1529,0
1986,1,5,0,0
1986,1,6,0,0
1986,1,7,0,0
1986,1,8,0,0
1986,1,9,0,0
1986,1,10,0,0
1986,1,11,0,0
1986,1,12,0,0
1986,1,13,0,0
1986,1,14,0,0
1986,1,15,0,0
1986,1,16,0,0
1986,1,17,0,0
1986,1,18,0,0
1986,1,19,0,0
1986,1,20,0,0
1986,1,21,0,0
1986,1,22,0,1
1986,1,23,0,1
1986,1,24,0,1
1986,1,25,0,1
1986,1,26,0,1
1986,1,27,0,1
1986,1,28,0,1
1986,1,29,0,1
1986,1,30,0,1
1986,1,31,0,0
1986,2,1,0,0
1986,2,2,0,0
1986,2,3,0,0
1986,2,4,0,0
1986,2,5,0,0
1986,2,6,0,0
1986,2,7,0,0
1986,2,8,0,0
1986,2,9,0,0
1986,2,10,0,0
1986,2,11,0,0
1986,2,12,0,0
1986,2,13,0,0
1986,2,14,0,0
1986,2,15,0,0
1986,2,16,0,0
1986,2,17,0,0
1986,2,18,0,0
1986,2,19,0,0
1986,2,20,0,0
1986,2,21,0,0
1986,2,22,0,0
1986,2,23,0,0
1986,2,24,0,0
1986,2,25,0,0
1986,2,26,0,0
1986,2,27,0,0
1986,2,28,0,0
1986,3,1,0,0
1986,3,2,0,0
1986,3,3,0,0
1986,3,4,0,0
1986,3,5,0,0
1986,3,6,0,0
1986,3,7,0,0
1986,3,8,0,0
1986,3,9,0,0
1986,3,10,0,0
1986,3,11,0,0
1986,3,12,0,0
1986,3,13,0,0
1986,3,14,0,0
1986,3,15,0,0
1986,3,16,0,0
1986,3,17,0,0
1986,3,18,0,0
1986,3,19,0,0
1986,3,20,0,0
1986,3,21,0,0
1986,3,22,0,0
1986,3,23,0,0
1986,3,24,0,0
1986,3,25,0,0
1986,3,26,0,0
1986,3,27,0,0
1986,3,28,0,0
1986,3,29,0,0
1986,3,30,0,0
1986,3,31,0,0
1986,4,1,0,0
1986,4,2,0,0
1986,4,3,0,0
1986,4,4,0,0
1986,4,5,0,1
1986,4,6,0,1
1986,4,7,0.2414,2
1986,4,8,0.4986,2
1986,4,9,0.7457,2
1986,4,10,0.9714,2
1986,4,11,1.1829,2
1986,4,12,1.3643,2
1986,4,13,1.3643,2
1986,4,14,1.3643,2
1986,4,15,1.3643,2
1986,4,16,1.3643,2
1986,4,17,1.3643,2
1986,4,18,1.3643,2
